label,mae,avg_wait,pct_over_5min,mae_delta_pct
1. Baseline (Zomato today),6.551414857337728,4.034234852790716,36.48402864612936,0.0
2. Denoised FOR (static median),3.810962489438634,0.6748614997466448,0.9662384903944526,41.82993181739556
3. EMA Denoised FOR (adaptive),3.829284011969936,0.718808771217559,1.1594861884733432,41.55027432462082
4. KitchenPulse Full (POS + KLI),3.6611123678526774,1.6762292258724925,9.469137205865636,44.11722585767636
5a. Baseline (adversarial),6.551414857337728,4.034234852790716,36.48402864612936,0.0
5b. KitchenPulse (adversarial),4.474843526202114,1.5149812436058014,8.525633738774582,31.696532372847813
